tahun,bulan,puskesmas,desa,sasaran,sangat pendek,pendek,normal,tinggi,jumlah balita diukur,stunting,stunting (%)
2024,maret,KADUR,PAMAROH,324,3,20,296,1,320,23,7.1875
2024,maret,KADUR,PAMOROH,1021,15,21,507,14,557,36,6.463195691
2024,maret,KADUR,BANGKES,1155,20,37,587,15,659,57,8.649468892
2024,maret,KADUR,KADUR,958,6,42,481,6,535,48,8.971962617
2024,maret,KADUR,BUNGBARUH,466,1,12,304,2,319,13,4.07523511
2024,maret,KADUR,SOKOLELAH,146,0,0,104,1,105,0,0
2024,maret,KADUR,GAGAH,91,0,0,67,0,67,0,0
2024,maret,KADUR,KERTAGENA LAOK,153,1,17,118,0,136,18,13.23529412
2024,maret,KADUR,KERTAGENA TENGAH,488,15,34,261,3,313,49,15.65495208
2024,maret,KADUR,KERTAGENA DAYA,411,1,2,152,2,157,3,1.910828025
2024,maret,PAKONG,BICORONG,310,0,1,301,0,302,1,0.331125828
2024,maret,PAKONG,KLOMPANG BARAT,203,0,0,222,0,222,0,0
2024,maret,PAKONG,KLOMPANG TIMUR,52,0,0,119,0,119,0,0
2024,maret,PAKONG,BAJANG,112,0,0,111,0,111,0,0
2024,maret,PAKONG,CENLECEN,207,0,0,224,0,224,0,0
2024,maret,PAKONG,BANBAN,56,0,0,57,0,57,0,0
2024,maret,PAKONG,SOMALANG,71,0,0,44,0,44,0,0
2024,maret,PAKONG,PALALANG,82,0,0,103,0,103,0,0
2024,maret,PAKONG,SEDDUR,326,0,0,275,0,275,0,0
2024,maret,PAKONG,PAKONG,387,0,0,402,0,402,0,0
2024,maret,PAKONG,BANDUNGAN,198,0,0,163,0,163,0,0
2024,maret,PAKONG,LEBBEK,297,0,3,294,0,297,3,1.01010101
2024,maret,WARU,SANA LAOK,377,1,6,649,2,658,7,1.063829787
2024,maret,WARU,WARU TIMUR,641,0,11,620,0,631,11,1.743264659
2024,maret,WARU,WARU BARAT,613,0,8,790,5,803,8,0.99626401
2024,maret,WARU,TLONTOARES,128,0,1,150,0,151,1,0.662251656
2024,maret,WARU,TEGANGSER LAOK,166,1,2,239,0,242,3,1.239669421
2024,maret,TAMPOJUNG PREGI,SUMBER WARU,315,1,2,293,6,302,3,0.993377483
2024,maret,TAMPOJUNG PREGI,BAJUR,280,2,2,161,65,230,4,1.739130435
2024,maret,TAMPOJUNG PREGI,RAGANG,250,1,3,227,0,231,4,1.731601732
2024,maret,TAMPOJUNG PREGI,TAMPOJUNG TENGGINA,206,0,1,166,11,178,1,0.561797753
2024,maret,TAMPOJUNG PREGI,TAMPOJUNG TENGAH,156,1,0,141,1,143,1,0.699300699
2024,maret,TAMPOJUNG PREGI,TAMPOJUNG GUWA,73,2,0,66,0,68,2,2.941176471
2024,maret,TAMPOJUNG PREGI,TAMPOJUNG PREGI,407,0,2,366,17,385,2,0.519480519
2024,maret,BATUMARMAR,PANGERREMAN,269,0,0,161,0,161,0,0
2024,maret,BATUMARMAR,BUJUR BARAT,700,0,5,665,0,670,5,0.746268657
2024,maret,BATUMARMAR,BUJUR TENGAH,481,0,16,448,0,464,16,3.448275862
2024,maret,BATUMARMAR,BUJUR TIMUR,414,0,0,397,0,397,0,0
2024,maret,BATUMARMAR,PONJANAN TIMUR,577,1,11,535,0,547,12,2.193784278
2024,maret,BATUMARMAR,PONJANAN BARAT,326,0,1,303,0,304,1,0.328947368
2024,maret,BATUMARMAR,LESONG LAOK,237,0,2,189,0,191,2,1.047120419
2024,maret,BATUMARMAR,BANGSEREH,351,0,4,275,0,279,4,1.433691756
2024,maret,BATUMARMAR,BLABAN,451,1,14,428,0,443,15,3.386004515
2024,maret,BATUMARMAR,TAMBERU,38,0,0,0,0,0,0,0
2024,maret,BATUMARMAR,BATUBINTANG,895,0,11,695,0,706,11,1.558073654
2024,maret,BATUMARMAR,LESONG DAJA,335,1,7,178,0,186,8,4.301075269
2024,maret,BATUMARMAR,KAPONG,255,0,6,222,0,228,6,2.631578947
2024,maret,PASEAN,SANA TENGAH,324,0,5,404,1,410,5,1.219512195
2024,maret,PASEAN,SANA DAJA,324,0,3,378,1,382,3,0.785340314
2024,maret,PASEAN,DEMPO BARAT,303,0,4,290,0,294,4,1.360544218
2024,maret,PASEAN,DEMPO TIMUR,159,0,2,306,0,308,2,0.649350649
2024,maret,PASEAN,BINDANG,336,0,5,387,10,402,5,1.243781095
2024,maret,PASEAN,BATUKERBUY,310,0,4,434,0,438,4,0.913242009
2024,maret,PASEAN,TLONTORAJA,439,0,7,505,0,512,7,1.3671875
2024,maret,PASEAN,TAGANGSER DAJA,194,0,5,275,1,281,5,1.779359431
2024,maret,PASEAN,SOTABAR,253,0,3,280,0,283,3,1.060070671
2024,maret,BANDARAN,DABUAN,142,0,6,121,0,127,6,4.724409449
2024,maret,BANDARAN,TERRAK,274,0,7,194,6,207,7,3.381642512
2024,maret,BANDARAN,MANGGAR,138,0,2,108,0,110,2,1.818181818
2024,maret,BANDARAN,BANDARAN,325,1,7,317,3,328,8,2.43902439
2024,maret,BANDARAN,KRAMAT,417,0,7,309,13,329,7,2.127659574
2024,maret,BANDARAN,LARANGAN SLAMPAR,366,0,3,222,4,229,3,1.310043668
2024,maret,BANDARAN,TARO'AN,148,0,2,156,0,158,2,1.265822785
